date,CSL,DAT,DAV,LivretA,PEL
1993-03-31,25390.0,,,,75781.0
1993-04-30,,,,,
1993-05-31,,,,,
1993-06-30,25185.0,,,,76023.0
1993-07-31,,,,,
1993-08-31,,,,,
1993-09-30,25044.0,,,,77689.0
1993-10-31,,,,,
1993-11-30,,,,,
1993-12-31,25681.0,,,,84886.0
1994-01-31,,,,,
1994-02-28,,,,,
1994-03-31,25617.0,,,,89656.0
1994-04-30,,,,,
1994-05-31,,,,,
1994-06-30,25847.0,,,,90888.0
1994-07-31,,,,,
1994-08-31,,,,,
1994-09-30,26550.0,,,,92949.0
1994-10-31,,,,,
1994-11-30,,,,,
1994-12-31,26967.0,,,,98811.0
1995-01-31,,,,,
1995-02-28,,,,,
1995-03-31,26290.0,,,,102064.0
1995-04-30,,,,,
1995-05-31,,,,,
1995-06-30,25560.0,,,,102815.0
1995-07-31,,,,,
1995-08-31,,,,,
1995-09-30,26097.0,,,,104916.0
1995-10-31,,,,,
1995-11-30,,,,,
1995-12-31,27653.0,,,,114197.0
1996-01-31,,,,,
1996-02-29,,,,,
1996-03-31,29300.0,,,,124279.0
1996-04-30,,,,,
1996-05-31,,,,,
1996-06-30,29585.0,,,,128359.0
1996-07-31,,,,,
1996-08-31,,,,,
1996-09-30,30926.0,,,,132187.0
1996-10-31,,,,,
1996-11-30,,,,,
1996-12-31,34631.0,,,,141359.0
1997-01-31,,,,,
1997-02-28,,,,,
1997-03-31,37783.0,,,,149981.0
1997-04-30,,,,,
1997-05-31,,,,,
1997-06-30,39476.0,,,,152481.0
1997-07-31,,,,,
1997-08-31,,,,,
1997-09-30,41879.0,,,,155003.0
1997-10-31,,,,,
1997-11-30,,,,,
1997-12-31,42951.0,,,,160929.0
1998-01-31,,,,,
1998-02-28,,,,,
1998-03-31,45714.0,,,,164062.0
1998-04-30,,,,,
1998-05-31,,,,,
1998-06-30,46131.0,,,,165527.0
1998-07-31,,,,,
1998-08-31,,,,,
1998-09-30,46984.0,,,,167348.0
1998-10-31,,,,,
1998-11-30,,,,,
1998-12-31,47259.0,,,,175452.0
1999-01-31,,,,,
1999-02-28,,,,,
1999-03-31,48826.0,,,,179229.0
1999-04-30,,,,,
1999-05-31,,,,,
1999-06-30,50176.0,,,,179904.0
1999-07-31,,,,,
1999-08-31,,,,,
1999-09-30,50342.0,,,,181657.0
1999-10-31,,,,,
1999-11-30,,,,,
1999-12-31,48565.0,,,,188164.0
2000-01-31,50041.0,17230.0,131970.0,,190736.0
2000-02-29,48852.0,17930.0,132220.0,,189718.0
2000-03-31,48096.0,19508.0,134860.0,,188579.0
2000-04-30,48245.0,19683.0,137680.0,,188143.0
2000-05-31,47657.0,21179.0,137280.0,,187686.0
2000-06-30,46911.0,22508.0,141200.0,,186730.0
2000-07-31,47152.0,25454.0,141040.0,,186194.0
2000-08-31,47473.0,25556.0,138680.0,,186108.0
2000-09-30,46701.0,25707.0,139520.0,,185852.0
2000-10-31,46214.0,28100.0,136540.0,,185413.0
2000-11-30,45733.0,30390.0,134970.0,,184946.0
2000-12-31,46134.0,30579.0,144040.0,,190334.0
2001-01-31,47186.0,34302.0,139860.0,,191545.0
2001-02-28,46926.0,33861.0,138210.0,,190815.0
2001-03-31,47328.0,34732.0,139950.0,,190230.0
2001-04-30,48073.0,34493.0,140310.0,,189975.0
2001-05-31,48154.0,35308.0,139790.0,,189552.0
2001-06-30,48403.0,37050.0,149070.0,,188855.0
2001-07-31,49201.0,37606.0,150000.0,,188574.0
2001-08-31,50270.0,39512.0,144500.0,,188865.0
2001-09-30,50555.0,40043.0,149010.0,,188944.0
2001-10-31,51567.0,39853.0,146740.0,,189259.0
2001-11-30,52302.0,38894.0,147680.0,,189584.0
2001-12-31,53966.0,35292.0,161690.0,,195370.0
2002-01-31,56364.0,32933.0,153758.0,,197851.0
2002-02-28,56823.0,34073.0,150981.0,,197655.0
2002-03-31,57365.0,34784.0,154697.0,,197556.0
2002-04-30,58408.0,39350.0,157147.0,,197501.0
2002-05-31,58805.0,36725.0,155420.0,,197403.0
2002-06-30,58819.0,33221.0,161939.0,,196871.0
2002-07-31,60234.0,34636.0,159759.0,,196853.0
2002-08-31,61572.0,35348.0,156159.0,,197426.0
2002-09-30,62316.0,34709.0,160442.0,,197710.0
2002-10-31,63056.0,35522.0,154302.0,,198108.0
2002-11-30,64174.0,34958.0,186455.0,,198658.0
2002-12-31,65841.0,30763.0,190620.0,,204970.0
2003-01-31,68991.0,28584.0,184935.0,,206774.0
2003-02-28,70803.0,27113.0,180353.0,,207057.0
2003-03-31,73669.0,25753.0,182985.0,,207297.0
2003-04-30,76314.0,24877.0,189505.0,,207360.0
2003-05-31,77064.0,24117.0,186347.0,,207400.0
2003-06-30,78197.0,22904.0,192614.0,,207090.0
2003-07-31,80989.0,22389.0,199064.0,,207538.0
2003-08-31,82584.0,22329.0,198965.0,,208373.0
2003-09-30,82431.0,21542.0,195605.0,,208756.0
2003-10-31,83598.0,21471.0,197513.0,,209049.0
2003-11-30,83634.0,21148.0,197418.0,,209267.0
2003-12-31,85282.0,20355.0,202393.0,,216703.0
2004-01-31,87836.0,20381.0,202572.0,,218183.0
2004-02-29,88286.0,20069.0,199443.0,,217796.0
2004-03-31,89609.0,19942.0,198972.0,,217488.0
2004-04-30,91328.0,19871.0,204659.0,,217401.0
2004-05-31,91698.0,19451.0,202215.0,,217283.0
2004-06-30,92510.0,18969.0,206017.0,,216824.0
2004-07-31,94810.0,19458.0,211785.0,,216658.0
2004-08-31,96968.0,19679.0,207256.0,,216960.0
2004-09-30,97267.0,19627.0,206517.0,,216905.0
2004-10-31,98416.0,19247.0,210953.0,,216840.0
2004-11-30,98751.0,19082.0,206004.0,,216833.0
2004-12-31,100635.0,18609.0,212926.0,,224163.0
2005-01-31,103987.0,18887.0,210003.0,,225295.0
2005-02-28,104389.0,18895.0,206817.0,,224904.0
2005-03-31,105097.0,19040.0,208801.0,,224438.0
2005-04-30,107034.0,19309.0,217057.0,,224120.0
2005-05-31,107588.0,19448.0,210362.0,,223818.0
2005-06-30,107886.0,20298.0,217128.0,,223183.0
2005-07-31,109970.0,21622.0,225239.0,,222979.0
2005-08-31,112046.0,21714.0,219425.0,,223348.0
2005-09-30,112073.0,20973.0,219398.0,,223366.0
2005-10-31,112692.0,21673.0,220526.0,,223036.0
2005-11-30,111993.0,21224.0,217208.0,,222169.0
2005-12-31,114224.0,20834.0,230116.0,,225568.0
2006-01-31,118629.0,20786.0,225824.0,,223063.0
2006-02-28,119459.0,21158.0,221156.0,,218982.0
2006-03-31,120995.0,21040.0,224620.0,,215257.0
2006-04-30,122201.0,20800.0,233381.0,,213176.0
2006-05-31,121787.0,21322.0,225584.0,,211423.0
2006-06-30,122108.0,22179.0,233120.0,,209288.0
2006-07-31,123724.0,23694.0,237521.0,,207812.0
2006-08-31,126010.0,24536.0,232363.0,,207105.0
2006-09-30,125677.0,25076.0,234369.0,,205644.0
2006-10-31,126675.0,25793.0,233964.0,,203892.0
2006-11-30,126572.0,26328.0,229105.0,,202031.0
2006-12-31,128564.0,27159.0,239412.0,,206066.0
2007-01-31,131598.0,28625.0,233240.0,,204000.0
2007-02-28,130524.0,29913.0,229673.0,,201164.0
2007-03-31,130351.0,31526.0,233161.0,,198842.0
2007-04-30,129972.0,32822.0,241067.0,,197302.0
2007-05-31,129253.0,34195.0,235684.0,,195899.0
2007-06-30,128056.0,35459.0,243801.0,,193869.0
2007-07-31,128667.0,38876.0,246913.0,,192349.0
2007-08-31,129856.0,41054.0,242411.0,,191507.0
2007-09-30,128520.0,42617.0,242787.0,,190125.0
2007-10-31,128133.0,45441.0,242981.0,,188373.0
2007-11-30,126394.0,46949.0,235893.0,,186740.0
2007-12-31,127970.0,48240.0,246231.0,,190412.0
2008-01-31,130845.0,51815.0,241689.0,,188579.0
2008-02-29,130231.0,53675.0,236239.0,,185923.0
2008-03-31,130991.0,54620.0,237869.0,,183759.0
2008-04-30,132370.0,56489.0,246742.0,,181630.0
2008-05-31,132071.0,57875.0,240777.0,,179914.0
2008-06-30,130396.0,59052.0,243434.0,,177439.0
