,Inflation,TauxChomages,TauxCSL,TauxPEL,TauxDAT,TauxEuribor3M,TauxLivretA,TauxDAV,TauxepargneMeanage,TauxBCE,PIB
2012-04-30,2.4,9.165934065934065,2.02,2.5,2.95,0.7443,2.25,0.089,15.358538461538462,1.0,1826.4798360655739
2012-05-31,2.3,9.234065934065935,1.93,2.5,2.95,0.6849,2.25,0.0843,15.401461538461538,1.0,1826.484918032787
2012-06-30,2.3,9.3,1.98,2.5,2.95,0.6589,2.25,0.0869,15.443,1.0,1826.4898360655739
2012-07-31,2.2,9.333695652173914,1.93,2.5,2.96,0.497,2.25,0.0892,15.46557608695652,0.875,1826.494918032787
2012-08-31,2.4,9.367391304347827,1.91,2.5,2.96,0.3324,2.25,0.0838,15.488152173913043,0.75,1826.5
2012-09-30,2.2,9.4,1.85,2.5,2.89,0.2463,2.25,0.0831,15.51,0.75,1826.504918032787
2012-10-31,2.1,9.534782608695652,1.79,2.5,2.89,0.2079,2.25,0.084,15.451780487804879,0.75,1826.51
2012-11-30,1.6,9.665217391304349,1.78,2.5,2.85,0.192,2.25,0.0854,15.395439024390244,0.75,1826.514918032787
2012-12-31,1.5,9.8,1.76,2.5,2.84,0.1855,2.25,0.0859,15.337219512195121,0.75,1826.52
2013-01-31,1.4,9.86888888888889,1.69,2.5,2.87,0.2049,2.25,0.0912,15.279,0.75,1831.543698630137
2013-02-28,1.2,9.931111111111111,1.6,2.5,2.88,0.2234,2.0,0.0741,15.269033898305084,0.75,1836.0812328767124
2013-03-31,1.1,10.0,1.49,2.5,3.01,0.2061,1.75,0.0772,15.258,0.75,1841.1049315068494
2013-04-30,0.8,10.032967032967033,1.5,2.5,3.0,0.2089,1.75,0.0816,14.973164835164834,0.75,1845.9665753424658
2013-05-31,0.9,10.067032967032967,1.45,2.5,3.05,0.2012,1.75,0.0797,14.678835164835165,0.625,1850.9902739726028
2013-06-30,1.0,10.1,1.46,2.5,3.02,0.2103,1.75,0.0747,14.394,0.5,1855.8519178082192
2013-07-31,1.2,10.032608695652174,1.42,2.5,3.03,0.2214,1.75,0.0765,14.254163043478261,0.5,1860.8756164383562
2013-08-31,1.0,9.965217391304348,1.25,2.5,2.97,0.2259,1.5,0.066,14.11432608695652,0.5,1865.8993150684933
2013-09-30,1.0,9.9,1.24,2.5,2.86,0.2232,1.25,0.0661,13.979,0.5,1870.7609589041097
2013-10-31,0.7,9.866304347826087,1.2,2.5,2.93,0.2258,1.25,0.0675,13.95170652173913,0.5,1875.7846575342467
2013-11-30,0.8,9.833695652173914,1.19,2.5,2.86,0.2234,1.25,0.0646,13.925293478260869,0.375,1880.646301369863
2013-12-31,0.8,9.8,1.19,2.5,2.83,0.2735,1.25,0.0707,13.898,0.25,1885.67
2014-01-31,0.8,9.8,1.14,2.5,2.8,0.292,1.25,0.0692,13.938988888888888,0.25,1887.8680273972604
2014-02-28,1.1,9.8,1.22,2.5,2.88,0.2881,1.25,0.0669,13.976011111111111,0.25,1889.8533424657535
2014-03-31,0.8,9.8,1.15,2.5,2.8,0.3053,1.25,0.0678,14.017,0.25,1892.0513698630136
2014-04-30,0.8,9.8,1.19,2.5,2.81,0.3297,1.25,0.0726,14.024912087912087,0.25,1894.178493150685
2014-05-31,0.8,9.8,1.17,2.5,2.81,0.3246,1.25,0.0712,14.033087912087913,0.25,1896.3765205479451
2014-06-30,0.6,9.8,1.18,2.5,2.81,0.2414,1.25,0.0691,14.041,0.2,1898.5036438356165
2014-07-31,0.6,9.833695652173914,1.12,2.5,2.82,0.205,1.25,0.0625,14.150510869565217,0.15,1900.7016712328766
2014-08-31,0.5,9.867391304347827,1.03,2.5,2.78,0.1916,1.125,0.0593,14.260021739130435,0.15,1902.899698630137
2014-09-30,0.4,9.9,1.02,2.5,2.68,0.0971,1.0,0.0579,14.366,0.1,1905.026821917808
2014-10-31,0.5,9.967391304347826,0.96,2.5,2.74,0.0826,1.0,0.0613,14.32691304347826,0.05,1907.2248493150685
2014-11-30,0.4,10.032608695652174,0.98,2.5,2.66,0.0809,1.0,0.0609,14.28908695652174,0.05,1909.3519726027398
2014-12-31,0.1,10.1,0.96,2.5,2.65,0.0809,1.0,0.0572,14.25,0.05,1911.55
2015-01-31,-0.4,10.065555555555555,0.91,2.5,2.64,0.0627,1.0,0.0625,14.1849,0.05,1915.4364657534245
2015-02-28,-0.3,10.034444444444444,0.94,2.25,2.04,0.0482,1.0,0.0695,14.1261,0.05,1918.9468219178082
2015-03-31,0.0,10.0,0.86,2.0,2.05,0.0272,1.0,0.065,14.061,0.05,1922.833287671233
2015-04-30,0.1,10.065934065934066,0.81,2.0,1.93,0.0047,1.0,0.0647,13.998692307692307,0.05,1926.5943835616438
2015-05-31,0.3,10.134065934065934,0.77,2.0,1.88,-0.0104,1.0,0.0588,13.934307692307693,0.05,1930.4808493150686
2015-06-30,0.3,10.2,0.76,2.0,1.89,-0.0139,1.0,0.0561,13.872,0.05,1934.2419452054794
